id,leave_request_id,step_order,step_name,approver_role,status,approver_user_id,comment,created_at,updated_at
2,31,1,Handover/Rekan Kerja,manager,Disetujui,461560c1-75c0-48b4-b864-f3c22fb5e9a2,,2025-11-03 03:28:59.061648+00,2025-11-03 03:57:21.806+00
3,31,2,DFD,dfd_lead,Disetujui,88d6b3ca-82e7-46cb-96c4-8c9555aa947b,,2025-11-03 03:28:59.061648+00,2025-11-03 04:23:14.563+00
4,31,3,HRD,hrd,Disetujui,15f317da-5b3c-4b24-ad0b-4f9774176f6e,,2025-11-03 03:28:59.061648+00,2025-11-03 04:31:20.243+00
5,31,4,Admin Final,admin,Disetujui,3acb764d-d05a-4673-8ea9-1c545357fb02,,2025-11-03 03:28:59.061648+00,2025-11-03 04:35:44.839+00
6,32,1,Handover/Rekan Kerja,manager,Disetujui,461560c1-75c0-48b4-b864-f3c22fb5e9a2,,2025-11-03 04:36:11.71586+00,2025-11-03 04:36:52.03+00
7,32,2,DFD,dfd_lead,Disetujui,88d6b3ca-82e7-46cb-96c4-8c9555aa947b,,2025-11-03 04:36:11.71586+00,2025-11-03 04:43:58.563+00
8,32,3,HRD,hrd,Disetujui,15f317da-5b3c-4b24-ad0b-4f9774176f6e,,2025-11-03 04:36:11.71586+00,2025-11-03 04:47:17.551+00
9,32,4,Admin Final,admin,Disetujui,3acb764d-d05a-4673-8ea9-1c545357fb02,,2025-11-03 04:36:11.71586+00,2025-11-03 06:57:46.694+00
10,33,1,Handover/Rekan Kerja,manager,Disetujui,461560c1-75c0-48b4-b864-f3c22fb5e9a2,,2025-11-03 04:54:08.687224+00,2025-11-03 04:56:17.836+00
11,33,2,DFD,dfd_lead,Disetujui,88d6b3ca-82e7-46cb-96c4-8c9555aa947b,,2025-11-03 04:54:08.687224+00,2025-11-03 04:58:43.72+00
12,33,3,HRD,hrd,Disetujui,15f317da-5b3c-4b24-ad0b-4f9774176f6e,,2025-11-03 04:54:08.687224+00,2025-11-03 04:59:31.867+00
13,33,4,Head of Dept,head_dept,Disetujui,c5383438-0851-4ceb-93dc-aa25ca19fa75,,2025-11-03 04:54:08.687224+00,2025-11-03 06:56:01.055+00
14,33,5,Admin Final,admin,Disetujui,3acb764d-d05a-4673-8ea9-1c545357fb02,,2025-11-03 04:54:08.687224+00,2025-11-03 06:57:39.322+00
15,34,1,Handover/Rekan Kerja,manager,Disetujui,461560c1-75c0-48b4-b864-f3c22fb5e9a2,,2025-11-03 07:04:28.203638+00,2025-11-03 07:13:01.655+00
16,34,2,DFD,dfd_lead,Disetujui,88d6b3ca-82e7-46cb-96c4-8c9555aa947b,,2025-11-03 07:04:28.203638+00,2025-11-03 07:17:00.122+00
17,34,3,HRD,hrd,Disetujui,15f317da-5b3c-4b24-ad0b-4f9774176f6e,,2025-11-03 07:04:28.203638+00,2025-11-07 03:39:39.384+00
